id,name,language,loc,words,keywords/global.json,keywords/nonlocal.json,keywords/import.json,keywords/from_import.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/builtins.json,count
539077634,imp_projects4/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e/sdht010902-12-ec8c00e/sh/scripts/ch10.py,python,59,222,0,0,3,0,0,0,0,0,1
539077634,imp_projects4/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e/sdht010902-12-ec8c00e/sh/scripts/ch6.py,python,59,222,0,0,3,0,0,0,0,0,2
539077634,imp_projects4/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e/sdht010902-12-ec8c00e/sh/scripts/ch1.py,python,59,222,0,0,3,0,0,0,0,0,2
539077634,imp_projects4/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e/sdht010902-12-ec8c00e/sh/scripts/ch8.py,python,59,222,0,0,3,0,0,0,0,0,2
539077634,imp_projects4/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e/sdht010902-12-ec8c00e/sh/scripts/ch9.py,python,59,222,0,0,3,0,0,0,0,0,2
539077634,imp_projects4/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e/sdht010902-12-ec8c00e/sh/scripts/ch5.py,python,59,222,0,0,3,0,0,0,0,0,2
539077634,imp_projects4/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e/sdht010902-12-ec8c00e/scripts/ch3.py,python,59,222,0,0,3,0,0,0,0,0,1
512470465,imp_projects4/0/512470465-69ea89f59212f33f874f5f26b69f2e17aa22e222/novuhq-blog-69ea89f/sending-emails-in-Python/index.py,python,140,627,0,0,2,2,0,0,0,0,1
108924214,imp_projects4/0/108924214-eb57d054ce9041054d921daf31850d6259d8bfcf/masamitsu-murase-wmi_device_manager-eb57d05/tests/test_wmidevicemanager.py,python,107,344,0,0,7,0,0,0,0,0,1
108924214,imp_projects4/0/108924214-eb57d054ce9041054d921daf31850d6259d8bfcf/masamitsu-murase-wmi_device_manager-eb57d05/utils/download_python.py,python,36,118,0,0,2,1,0,0,0,0,1
108924214,imp_projects4/0/108924214-eb57d054ce9041054d921daf31850d6259d8bfcf/masamitsu-murase-wmi_device_manager-eb57d05/utils/create_const.py,python,69,198,0,0,2,0,0,0,0,0,1
108924214,imp_projects4/0/108924214-eb57d054ce9041054d921daf31850d6259d8bfcf/masamitsu-murase-wmi_device_manager-eb57d05/utils/upload_to_pypi.py,python,35,83,0,0,5,0,0,0,0,0,1
108924214,imp_projects4/0/108924214-eb57d054ce9041054d921daf31850d6259d8bfcf/masamitsu-murase-wmi_device_manager-eb57d05/setup.py,python,35,164,0,0,0,3,0,0,0,0,1
108924214,imp_projects4/0/108924214-eb57d054ce9041054d921daf31850d6259d8bfcf/masamitsu-murase-wmi_device_manager-eb57d05/wmidevicemanager/win32pnpentity.py,python,180,567,0,0,2,4,0,0,0,0,1
108924214,imp_projects4/0/108924214-eb57d054ce9041054d921daf31850d6259d8bfcf/masamitsu-murase-wmi_device_manager-eb57d05/wmidevicemanager/__init__.py,python,9,21,0,0,0,2,0,0,0,0,1
108924214,imp_projects4/0/108924214-eb57d054ce9041054d921daf31850d6259d8bfcf/masamitsu-murase-wmi_device_manager-eb57d05/wmidevicemanager/wmidevicemanager.py,python,171,512,1,0,3,1,0,0,0,0,1
159998480,imp_projects4/0/159998480-3abe3509c1d893e7ef3332c436418377e4a11a12/EliZucker-Paranoid-Passenger-3abe350/python_scripts/RIPPyret.py,python,128,421,0,0,1,8,0,0,0,0,1
159998480,imp_projects4/0/159998480-3abe3509c1d893e7ef3332c436418377e4a11a12/EliZucker-Paranoid-Passenger-3abe350/python_scripts/Trip_Distance.py,python,469,880,0,0,1,0,0,0,0,0,1
159998480,imp_projects4/0/159998480-3abe3509c1d893e7ef3332c436418377e4a11a12/EliZucker-Paranoid-Passenger-3abe350/python_scripts/GetDistance.py,python,22,67,0,0,0,2,0,0,0,0,1
159998480,imp_projects4/0/159998480-3abe3509c1d893e7ef3332c436418377e4a11a12/EliZucker-Paranoid-Passenger-3abe350/python_scripts/Dijkstra.py,python,79,208,0,0,0,1,0,0,0,0,1
159998480,imp_projects4/0/159998480-3abe3509c1d893e7ef3332c436418377e4a11a12/EliZucker-Paranoid-Passenger-3abe350/python_scripts/GetLatitude.py,python,34,106,0,0,1,2,0,0,0,0,1
159998480,imp_projects4/0/159998480-3abe3509c1d893e7ef3332c436418377e4a11a12/EliZucker-Paranoid-Passenger-3abe350/python_scripts/turb.py,python,34,136,0,0,2,1,0,0,0,0,1
159998480,imp_projects4/0/159998480-3abe3509c1d893e7ef3332c436418377e4a11a12/EliZucker-Paranoid-Passenger-3abe350/python_scripts/Wait_Times.py,python,77,316,0,0,2,0,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/backend/src/midi_interpreter.py,python,78,343,0,0,3,0,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/backend/src/shared_data.py,python,47,84,4,0,1,0,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/backend/src/core.py,python,50,132,0,0,4,0,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/backend/src/midi_recorder.py,python,99,343,0,0,5,0,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/backend/src/main.py,python,11,36,0,0,3,0,0,0,0,0,1
