id,name,language,loc,words,keywords/global.json,keywords/nonlocal.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/import.json,keywords/from_import.json,keywords/builtins.json,count
5306667,projects/0/5306667-07bea6d0815eb4f232a2974c30126244997d13f9/biluti-pytestemb-07bea6d/src/pytestemb/parser.py,python,197,634,0,0,0,0,0,1,1,0,1
436720464,projects/0/436720464-b8af5a126821091ac2b7e4d3cdc754fdf9415e1d/LitosRomero-KrakenEnv-b8af5a1/Lib/site-packages/plotly/validators/layout/polar/angularaxis/_tickprefix.py,python,13,32,0,0,0,0,0,1,0,0,1
342016617,projects/0/342016617-a1b4be50095efc05ab29038188d05421e66f3bc0/eshanjain1-mdst-a1b4be5/env/lib/python3.8/site-packages/scipy/special/tests/test_logit.py,python,73,290,0,0,0,0,0,1,2,0,1
235247044,projects/0/235247044-6475f08d5c9753549e42dbe5472e5df84eea3df3/Feo-0134-EscalationHelper-6475f08/env/lib/python3.7/site-packages/django/contrib/admin/options.py,python,2182,8826,0,0,0,0,0,4,42,0,1
857939585,projects/0/857939585-646d94ca976e180d15f8a88e7b5fe3c534ad2699/hectar-glitches-ion-trajectory-intergration-646d94c/.venv/lib/python3.12/site-packages/pandas/tests/dtypes/cast/test_construct_ndarray.py,python,36,166,0,0,0,0,0,4,1,0,1
776153964,projects/0/776153964-9c54280d8520f81a7928150194c4fb6c7b04e324/osamasaeed88-superset-9c54280/superset/datasets/columns/api.py,python,106,350,0,0,0,0,0,1,8,0,1
383750847,projects/0/383750847-7de2a332162168fd21a2ef82a7d79075c7df596c/thinhemb-Machine-Learning-Basic-7de2a33/c_13_Computer_Vision/3.C++/yolov8_ByteTrack_TensorRT/ultralytics/yolo/__init__.py,python,5,14,0,0,0,0,0,0,1,0,1
695662881,projects/0/695662881-778d656d69b408c1f1e42e0d0f04a809271c4764/karabo-masilela-python_crash_course-778d656/.venv/Lib/site-packages/discord/opus.py,python,468,1749,3,0,0,0,0,8,3,0,1
436720464,projects/0/436720464-b8af5a126821091ac2b7e4d3cdc754fdf9415e1d/LitosRomero-KrakenEnv-b8af5a1/Lib/site-packages/plotly/graph_objs/scatterpolargl/_textfont.py,python,330,1191,0,0,0,0,0,1,1,0,1
359183323,projects/0/359183323-10374a28051ebb83d9057eb92a7f18da5d8c7f97/budnikm-aml-10374a2/lib/cli.py,python,118,769,0,0,0,0,0,1,0,0,1
342016617,projects/0/342016617-a1b4be50095efc05ab29038188d05421e66f3bc0/eshanjain1-mdst-a1b4be5/env/lib/python3.8/site-packages/sklearn/tests/test_dummy.py,python,766,2537,0,0,0,0,0,3,10,0,1
630485987,projects/0/630485987-539e2aff5538e99ff1a76822337db001d3cbc03f/naresh1-23-Todo-react-djangoRESTApi-539e2af/backend/env/lib/python3.10/site-packages/pip/_vendor/distro.py,python,1386,5511,0,0,0,0,0,9,2,0,1
192276488,projects/0/192276488-f20509b357e4b65ed0f777d5966d94485a4763b8/pubgM762-akash-f20509b/venv/Lib/site-packages/sqlalchemy/ext/declarative/clsregistry.py,python,356,1119,0,0,1,0,0,2,10,0,1
467246960,projects/0/467246960-5349e974795871331aa77a8bf75a319ad85a6e7a/AndreyZen-iSeals-5349e97/Design/bin/Debug/Lib/site-packages/asyncio/queues.py,python,302,1155,0,0,0,0,0,2,4,0,2
342016617,projects/0/342016617-a1b4be50095efc05ab29038188d05421e66f3bc0/eshanjain1-mdst-a1b4be5/env/lib/python3.8/site-packages/scipy/integrate/_ivp/tests/test_rk.py,python,37,163,0,0,0,0,0,2,3,0,1
48938964,projects/0/48938964-88f9e7e9347c39eb6b06146724bf5b427e7b7ded/josefwaller-old-josefwaller-website-88f9e7e/josefwaller_website/wsgi.py,python,18,58,0,0,0,0,0,1,2,0,1
342016617,projects/0/342016617-a1b4be50095efc05ab29038188d05421e66f3bc0/eshanjain1-mdst-a1b4be5/env/lib/python3.8/site-packages/IPython/kernel/managerabc.py,python,1,4,0,0,0,0,0,0,1,0,1
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241014152933.py,python,236,835,0,0,0,0,0,3,2,0,1
