id,path,name,latest_commit,files,loc,words,files_with_kw,files_with_keywords/globals.json,loc_with_kw,loc_of_files_with_keywords/globals.json,words_with_kw,words_of_files_with_keywords/globals.json,keywords/globals.json
332934941,projects/0/332934941-087877be1c9716109978be284ea74e2a47e9b522,azufre/Scrapy,087877be1c9716109978be284ea74e2a47e9b522,1052,346948,1390750,31,31,24990,24990,94765,94765,76
405772239,projects/0/405772239-eb5f40df2d15ce41014f6ee4204a510b42ed67cb,bruno-albino/tcc-ifsp,eb5f40df2d15ce41014f6ee4204a510b42ed67cb,8,905,2762,0,0,0,0,0,0,0
181108129,projects/0/181108129-d5d23d440408398ec740717b3c30309f4fb81cce,NVlabs/data-orchestration,d5d23d440408398ec740717b3c30309f4fb81cce,10,535,1848,0,0,0,0,0,0,0
718102826,projects/0/718102826-eef6a84837f8a95a5fa4ac82b3963c4bf095f4a5,CodeFishCorporation/CodeFish,eef6a84837f8a95a5fa4ac82b3963c4bf095f4a5,1,23,89,0,0,0,0,0,0,0
822721937,projects/0/822721937-d433d084aae30a6fb30092bda6ac9527a5574396,r-spiewak/python_template,d433d084aae30a6fb30092bda6ac9527a5574396,9,233,810,0,0,0,0,0,0,0
55537398,projects/0/55537398-d250362202bd7cefc57565f9e3da66328311e9a2,YacineMesbat/Code-Camp-Linux---Backito,d250362202bd7cefc57565f9e3da66328311e9a2,2,203,757,0,0,0,0,0,0,0
294813594,projects/0/294813594-a260566d1a087fd5786ce82d606d8131cc1b5783,ovclid/python,a260566d1a087fd5786ce82d606d8131cc1b5783,21,1407,4650,0,0,0,0,0,0,0
562487536,projects/0/562487536-93e7c6fb2637cab5831a8b1b92ae33557661e44a,Heydarchi/SELinux-Explorer,93e7c6fb2637cab5831a8b1b92ae33557661e44a,32,4410,13269,0,0,0,0,0,0,0
255470217,projects/0/255470217-b5eaefdfc580eefac18f566e43d541a1af8434db,verbose-void/PAGNNs,b5eaefdfc580eefac18f566e43d541a1af8434db,17,2731,10988,0,0,0,0,0,0,0
430956669,projects/0/430956669-ea78251da35723cd24ed4b9c73c5f27ebfefbe22,ZhaoChuyang/char-structure,ea78251da35723cd24ed4b9c73c5f27ebfefbe22,24,7571,30671,0,0,0,0,0,0,0
610561225,projects/0/610561225-1fe5821bc5f136afa26678779c53e6dabb7677b0,kooweajeeI/miniprojects,1fe5821bc5f136afa26678779c53e6dabb7677b0,29,1599,5977,0,0,0,0,0,0,0
