id,path,name,latest_commit,files,loc,words,files_with_kw,files_with_keywords/globals.json,files_with_keywords/builtins.json,files_with_keywords/global.json,files_with_keywords/inspect.json,files_with_keywords/locals.json,files_with_keywords/nonlocal.json,loc_with_kw,loc_of_files_with_keywords/globals.json,loc_of_files_with_keywords/builtins.json,loc_of_files_with_keywords/global.json,loc_of_files_with_keywords/inspect.json,loc_of_files_with_keywords/locals.json,loc_of_files_with_keywords/nonlocal.json,words_with_kw,words_of_files_with_keywords/globals.json,words_of_files_with_keywords/builtins.json,words_of_files_with_keywords/global.json,words_of_files_with_keywords/inspect.json,words_of_files_with_keywords/locals.json,words_of_files_with_keywords/nonlocal.json,keywords/globals.json,keywords/builtins.json,keywords/global.json,keywords/inspect.json,keywords/locals.json,keywords/nonlocal.json
500871419,tot_projects/0/500871419-581dee668b263e5bb74db99202acabf30ecebb85,tedomi2705/kernel_xiaomi_sdm660,581dee668b263e5bb74db99202acabf30ecebb85,41,11557,46570,15,0,0,15,0,0,0,7719,0,0,7719,0,0,0,31475,0,0,31475,0,0,0,0,0,68,0,0,0
429761617,tot_projects/0/429761617-65609288d7fc9557ee5bff58a2f0e744c896b844,foorilla/django-admin-list-charts,65609288d7fc9557ee5bff58a2f0e744c896b844,4,99,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39358518,tot_projects/0/39358518-39276a867a9553e0399dd99a36905e3c48461e66,mitchfriedman/siphon-client,39276a867a9553e0399dd99a36905e3c48461e66,8,273,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371602227,tot_projects/0/371602227-f707235c1f9236a86da44b45a06f2e9d7d094ed4,JaideepPrasad/Data-Science,f707235c1f9236a86da44b45a06f2e9d7d094ed4,7,1018,4430,2,0,0,2,0,0,0,232,0,0,232,0,0,0,646,0,0,646,0,0,0,0,0,7,0,0,0
16492604,tot_projects/0/16492604-9eeea04363b1f96a66a427aa025de44614b0cd56,nicwest/website,9eeea04363b1f96a66a427aa025de44614b0cd56,14,537,2834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182122378,tot_projects/0/182122378-68c0396ebb26cfac9f83b96a1fa72016845675d5,Vyral/maria-dipoce-recruiting,68c0396ebb26cfac9f83b96a1fa72016845675d5,2,82,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23230105,tot_projects/0/23230105-edb9c5020c9876d0e5095ffc95e036ce2a638f37,OsandaMalith/Algorithms,edb9c5020c9876d0e5095ffc95e036ce2a638f37,1,123,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121995607,tot_projects/0/121995607-ddf2f23fd1140b7281eb1742cf390bba2e0d50c6,garrettDavis718/cti110,ddf2f23fd1140b7281eb1742cf390bba2e0d50c6,1,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198152891,tot_projects/0/198152891-568f9ec942ed4f4365983f17d1d4b0f992250f3f,bkim724/master,568f9ec942ed4f4365983f17d1d4b0f992250f3f,1,258,980,1,0,0,1,0,0,0,258,0,0,258,0,0,0,980,0,0,980,0,0,0,0,0,4,0,0,0
610643972,tot_projects/0/610643972-fb1f5832b721edcf5eeaaee98d66bb42633bf0b5,n57uctf/yetictf-2023-finals,fb1f5832b721edcf5eeaaee98d66bb42633bf0b5,177,10768,44405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105887056,tot_projects/0/105887056-8518f4b10022ea2e9c15710bb693c68d298c67b7,mike84265/AIML,8518f4b10022ea2e9c15710bb693c68d298c67b7,99,28409,118519,44,15,0,34,0,0,0,17574,5949,0,14911,0,0,0,72564,26336,0,59778,0,0,0,23,0,131,0,0,0
429142370,tot_projects/0/429142370-8c28dab0627f5fb70fb9260cb89d18620c4f305a,guelate/Cryptosyst-me_DH-Morse,8c28dab0627f5fb70fb9260cb89d18620c4f305a,2,263,535,1,0,0,1,0,0,0,225,0,0,225,0,0,0,453,0,0,453,0,0,0,0,0,9,0,0,0
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021,star-eyes/student_edit,73991d3b6174a29261cd6b86bc5f1c16a8b13021,3259,1229832,4892495,474,147,15,360,0,0,19,391791,126013,27286,330099,0,0,54252,1542539,493209,124120,1300591,0,0,236045,438,33,950,0,0,51
68907634,tot_projects/0/68907634-eea28f64ad459e7a2be5606ed47617bdf78815fa,collective/plonefr,eea28f64ad459e7a2be5606ed47617bdf78815fa,13,959,2956,3,3,0,0,0,0,0,413,413,0,0,0,0,0,1179,1179,0,0,0,0,0,4,0,0,0,0,0
599426596,tot_projects/0/599426596-e867713a4d6e90573644b11595163e65b6b650ec,brout1987/pythonProject_temp_new,e867713a4d6e90573644b11595163e65b6b650ec,5,94,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601662851,error,Mokinz/pytorch_fundamentals,a12df21741d56498193807f2a97ca6e5611cd196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65582259,tot_projects/0/65582259-58caa79087ae1525526eed430be7e7d79c90a70b,bobmek/Rat-analysis-aoc,58caa79087ae1525526eed430be7e7d79c90a70b,1,127,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601906241,tot_projects/0/601906241-38385e8e4cf465dffe7e0db7f5e1246d171a9e08,chrishamblin7/circuit_explorer,38385e8e4cf465dffe7e0db7f5e1246d171a9e08,70,14498,59391,1,0,0,1,0,0,0,29,0,0,29,0,0,0,130,0,0,130,0,0,0,0,0,1,0,0,0
